transcript_id,batch1,batch2,chem1,chem2
YDR236C_mRNA,0,0,0,0
YDR237W_mRNA,0,0,0,0
YDR238C_mRNA,0,0,0,0
YDR239C_mRNA,0,0,0,0
YDR240C_mRNA,0,0,0,0
YDR241W_mRNA,0,0,0,0
tY(GUA)D_tRNA,0,0,0,0
YDR242W_mRNA,0,0,0,0
YDR243C_mRNA,0,0,0,0
YDR244W_mRNA,0,0,0,0
YDR245W_mRNA,0,0,0,0
YDR246W_mRNA,0,0,0,0
YDR246W-A_mRNA,0,0,0,0
YDR247W_mRNA,0,0,0,0
YDR248C_mRNA,0,0,0,0
YDR249C_mRNA,0,0,0,0
YDR250C_mRNA,0,0,0,0
YDR251W_mRNA,0,0,0,0
YDR252W_mRNA,0,0,0,0
YDR253C_mRNA,0,0,0,0
YDR254W_mRNA,0,0,0,0
YDR255C_mRNA,0,0,0,0
YDR256C_mRNA,0,0,0,0
YDR257C_mRNA,0,0,0,0
YDR258C_mRNA,0,0,0,0
YDR259C_mRNA,0,0,0,0
YDR260C_mRNA,0,0,0,0
YDR261C_mRNA,0,0,0,0
tS(AGA)D2_tRNA,0,0,0,0
YDR261W-A,0,0,0,0
YDR261W-B,0,0,0,0
tG(GCC)D2_tRNA,0,0,0,0
YDR262W_mRNA,0,0,0,0
YDR263C_mRNA,0,0,0,0
YDR264C_mRNA,0,0,0,0
YDR265W_mRNA,0,0,0,0
YDR266C_mRNA,0,0,0,0
YDR267C_mRNA,0,0,0,0
YDR268W_mRNA,0,0,0,0
YDR269C_mRNA,0,0,0,0
YDR270W_mRNA,0,0,0,0
YDR271C_mRNA,0,0,0,0
YDR272W_mRNA,0,0,0,0
YDR273W_mRNA,0,0,0,0
YDR274C_mRNA,0,0,0,0
YDR275W_mRNA,0,0,0,0
YDR276C_mRNA,0,0,0,0
YDR277C_mRNA,0,0,0,0
YDR278C_mRNA,0,0,0,0
tE(CUC)D_tRNA,0,0,0,0
YDR279W_mRNA,0,0,0,0
YDR280W_mRNA,0,0,0,0
YDR281C_mRNA,0,0,0,0
YDR282C_mRNA,0,0,0,0
YDR283C_mRNA,0,0,0,0
YDR284C_mRNA,0,0,0,0
YDR285W_mRNA,0,0,0,0
YDR286C_mRNA,0,0,0,0
YDR287W_mRNA,0,0,0,0
YDR288W_mRNA,0,0,0,0
YDR289C_mRNA,0,0,0,0
YDR290W_mRNA,0,0,0,0
YDR291W_mRNA,0,0,0,0
YDR292C_mRNA,0,0,0,0
YDR293C_mRNA,0,0,0,0
YDR294C_mRNA,0,0,0,0
YDR295C_mRNA,0,0,0,0
YDR296W_mRNA,0,0,0,0
YDR297W_mRNA,0,0,0,0
YDR298C_mRNA,0,0,0,0
YDR299W_mRNA,0,0,0,0
YDR300C_mRNA,0,0,0,0
YDR301W_mRNA,0,0,0,0
YDR302W_mRNA,0,0,0,0
YDR303C_mRNA,0,0,0,0
YDR304C_mRNA,0,0,0,0
YDR305C_mRNA,0,0,0,0
YDR306C_mRNA,0,0,0,0
tV(CAC)D_tRNA,0,0,0,0
YDR307W_mRNA,0,0,0,0
YDR308C_mRNA,0,0,0,0
YDR309C_mRNA,0,0,0,0
YDR310C_mRNA,0,0,0,0
YDR311W_mRNA,0,0,0,0
YDR312W_mRNA,0,0,0,0
YDR313C_mRNA,0,0,0,0
YDR314C_mRNA,0,0,0,0
YDR315C_mRNA,0,0,0,0
YDR316W_mRNA,0,0,0,0
tF(GAA)D_tRNA,0,0,0,0
YDR317W_mRNA,0,0,0,0
YDR318W_mRNA,0,0,0,0
YDR319C_mRNA,0,0,0,0
YDR320C_mRNA,0,0,0,0
YDR320C-A_mRNA,0,0,0,0
YDR320W-B_mRNA,0,0,0,0
YDR321W_mRNA,0,0,0,0
YDR322W_mRNA,0,0,0,0
YDR322C-A_mRNA,0,0,0,0
YDR323C_mRNA,0,0,0,0
YDR324C_mRNA,0,0,0,0
YDR325W_mRNA,0,0,0,0
YDR326C_mRNA,0,0,0,0
YDR327W_mRNA,0,0,0,0
YDR328C_mRNA,0,0,0,0
YDR329C_mRNA,0,0,0,0
YDR330W_mRNA,0,0,0,0
YDR331W_mRNA,0,0,0,0
YDR332W_mRNA,0,0,0,0
YDR333C_mRNA,0,0,0,0
YDR334W_mRNA,0,0,0,0
YDR335W_mRNA,0,0,0,0
YDR336W_mRNA,0,0,0,0
YDR337W_mRNA,0,0,0,0
YDR338C_mRNA,0,0,0,0
YDR339C_mRNA,0,0,0,0
tX(XXX)D_tRNA,0,0,0,0
YDR340W_mRNA,0,0,0,0
YDR341C_mRNA,0,0,0,0
YDR342C_mRNA,0,0,0,0
YDR343C_mRNA,0,0,0,0
YDR344C_mRNA,0,0,0,0
YDR345C_mRNA,0,0,0,0
YDR346C_mRNA,0,0,0,0
YDR347W_mRNA,0,0,0,0
YDR348C_mRNA,0,0,0,0
YDR349C_mRNA,0,0,0,0
tM(CAU)D_tRNA,0,0,0,0
YDR350C_mRNA,0,0,0,0
YDR351W_mRNA,0,0,0,0
YDR352W_mRNA,0,0,0,0
YDR353W_mRNA,0,0,0,0
YDR354W_mRNA,0,0,0,0
YDR354C-A_mRNA,0,0,0,0
YDR355C_mRNA,0,0,0,0
YDR356W_mRNA,0,0,0,0
YDR357C_mRNA,0,0,0,0
YDR358W_mRNA,0,0,0,0
YDR359C_mRNA,0,0,0,0
YDR360W_mRNA,0,0,0,0
YDR361C_mRNA,0,0,0,0
YDR362C_mRNA,0,0,0,0
YDR363W_mRNA,0,0,0,0
tK(CUU)D1_tRNA,0,0,0,0
YDR363W-A_mRNA,0,0,0,0
YDR364C_mRNA,0,0,0,0
YDR365C_mRNA,0,0,0,0
YDR366C_mRNA,0,0,0,0
YDR367W_mRNA,0,0,0,0
YDR368W_mRNA,0,0,0,0
YDR369C_mRNA,0,0,0,0
YDR370C_mRNA,0,0,0,0
YDR371W_mRNA,0,0,0,0
YDR371C-A_mRNA,0,0,0,0
YDR372C_mRNA,0,0,0,0
YDR373W_mRNA,0,0,0,0
YDR374C_mRNA,0,0,0,0
YDR374W-A_mRNA,0,0,0,0
YDR375C_mRNA,0,0,0,0
YDR376W_mRNA,0,0,0,0
YDR377W_mRNA,0,0,0,0
YDR378C_mRNA,0,0,0,0
YDR379W_mRNA,0,0,0,0
YDR379C-A_mRNA,0,0,0,0
YDR380W_mRNA,0,0,0,0
YDR381W_mRNA,0,0,0,0
YDR381C-A_mRNA,0,0,0,0
YDR382W_mRNA,0,0,0,0
YDR383C_mRNA,0,0,0,0
YDR384C_mRNA,0,0,0,0
YDR385W_mRNA,0,0,0,0
YDR386W_mRNA,0,0,0,0
YDR387C_mRNA,0,0,0,0
YDR388W_mRNA,0,0,0,0
YDR389W_mRNA,0,0,0,0
YDR390C_mRNA,0,0,0,0
tG(CCC)D_tRNA,0,0,0,0
YDR391C_mRNA,0,0,0,0
YDR392W_mRNA,0,0,0,0
YDR393W_mRNA,0,0,0,0
YDR394W_mRNA,0,0,0,0
YDR395W_mRNA,0,0,0,0
YDR396W_mRNA,0,0,0,0
YDR397C_mRNA,0,0,0,0
YDR398W_mRNA,0,0,0,0
YDR399W_mRNA,0,0,0,0
YDR400W_mRNA,0,0,0,0
YDR401W_mRNA,0,0,0,0
YDR402C_mRNA,0,0,0,0
YDR403W_mRNA,0,0,0,0
YDR404C_mRNA,0,0,0,0
YDR405W_mRNA,0,0,0,0
YDR406W_mRNA,0,0,0,0
YDR406W-A_mRNA,0,0,0,0
YDR407C_mRNA,0,0,0,0
YDR408C_mRNA,0,0,0,0
YDR409W_mRNA,0,0,0,0
YDR410C_mRNA,0,0,0,0
YDR411C_mRNA,0,0,0,0
YDR412W_mRNA,0,0,0,0
YDR413C_mRNA,0,0,0,0
YDR414C_mRNA,0,0,0,0
YDR415C_mRNA,0,0,0,0
YDR416W_mRNA,0,0,0,0
YDR417C_mRNA,0,0,0,0
YDR418W_mRNA,0,0,0,0
YDR419W_mRNA,0,0,0,0
tS(AGA)D3_tRNA,0,0,0,0
YDR420W_mRNA,0,0,0,0
YDR421W_mRNA,0,0,0,0
YDR422C_mRNA,0,0,0,0
YDR423C_mRNA,0,0,0,0
YDR424C_mRNA,0,0,0,0
YDR425W_mRNA,0,0,0,0
YDR426C_mRNA,0,0,0,0
YDR427W_mRNA,0,0,0,0
YDR428C_mRNA,0,0,0,0
YDR429C_mRNA,0,0,0,0
YDR430C_mRNA,0,0,0,0
YDR431W_mRNA,0,0,0,0
YDR432W_mRNA,0,0,0,0
YDR433W_mRNA,0,0,0,0
YDR434W_mRNA,0,0,0,0
YDR435C_mRNA,0,0,0,0
YDR436W_mRNA,0,0,0,0
YDR437W_mRNA,0,0,0,0
YDR438W_mRNA,0,0,0,0
YDR439W_mRNA,0,0,0,0
YDR440W_mRNA,0,0,0,0
YDR441C_mRNA,0,0,0,0
YDR442W_mRNA,0,0,0,0
YDR443C_mRNA,0,0,0,0
YDR444W_mRNA,0,0,0,0
YDR445C_mRNA,0,0,0,0
tK(CUU)D2_tRNA,0,0,0,0
YDR446W_mRNA,0,0,0,0
YDR447C_mRNA,0,0,0,0
YDR448W_mRNA,0,0,0,0
YDR449C_mRNA,0,0,0,0
YDR450W_mRNA,0,0,0,0
YDR451C_mRNA,0,0,0,0
YDR452W_mRNA,0,0,0,0
YDR453C_mRNA,0,0,0,0
YDR454C_mRNA,0,0,0,0
YDR455C_mRNA,0,0,0,0
YDR456W_mRNA,0,0,0,0
YDR457W_mRNA,0,0,0,0
YDR458C_mRNA,0,0,0,0
YDR459C_mRNA,0,0,0,0
YDR460W_mRNA,0,0,0,0
YDR461W_mRNA,0,0,0,0
YDR461C-A_mRNA,0,0,0,0
YDR462W_mRNA,0,0,0,0
YDR463W_mRNA,0,0,0,0
YDR464W_mRNA,0,0,0,0
YDR464C-A_mRNA,0,0,0,0
YDR465C_mRNA,0,0,0,0
YDR466W_mRNA,0,0,0,0
YDR467C_mRNA,0,0,0,0
YDR468C_mRNA,0,0,0,0
YDR469W_mRNA,0,0,0,0
YDR470C_mRNA,0,0,0,0
YDR471W_mRNA,0,0,0,0
snR13_snoRNA,0,0,0,0
YDR472W_mRNA,0,0,0,0
YDR473C_mRNA,0,0,0,0
YDR475C_mRNA,0,0,0,0
YDR476C_mRNA,0,0,0,0
YDR477W_mRNA,0,0,0,0
YDR478W_mRNA,0,0,0,0
YDR479C_mRNA,0,0,0,0
YDR480W_mRNA,0,0,0,0
YDR481C_mRNA,0,0,0,0
YDR482C_mRNA,0,0,0,0
YDR483W_mRNA,0,0,0,0
YDR484W_mRNA,0,0,0,0
YDR485C_mRNA,0,0,0,0
YDR486C_mRNA,0,0,0,0
YDR487C_mRNA,0,0,0,0
YDR488C_mRNA,0,0,0,0
YDR489W_mRNA,0,0,0,0
YDR490C_mRNA,0,0,0,0
YDR491C_mRNA,0,0,0,0
YDR492W_mRNA,0,0,0,0
YDR493W_mRNA,0,0,0,0
YDR494W_mRNA,0,0,0,0
YDR495C_mRNA,0,0,0,0
YDR496C_mRNA,0,0,0,0
YDR497C_mRNA,0,0,0,0
YDR498C_mRNA,0,0,0,0
YDR499W_mRNA,0,0,0,0
YDR500C_mRNA,0,0,0,0
YDR501W_mRNA,0,0,0,0
YDR502C_mRNA,0,0,0,0
YDR503C_mRNA,0,0,0,0
YDR504C_mRNA,0,0,0,0
YDR505C_mRNA,0,0,0,0
YDR506C_mRNA,0,0,0,0
tL(CAA)D_tRNA,0,0,0,0
YDR507C_mRNA,0,0,0,0
YDR508C_mRNA,0,0,0,0
YDR509W_mRNA,0,0,0,0
YDR510W_mRNA,0,0,0,0
YDR510C-A_mRNA,0,0,0,0
YDR511W_mRNA,0,0,0,0
YDR512C_mRNA,0,0,0,0
YDR513W_mRNA,0,0,0,0
YDR514C_mRNA,0,0,0,0
YDR515W_mRNA,0,0,0,0
YDR516C_mRNA,0,0,0,0
YDR517W_mRNA,0,0,0,0
YDR518W_mRNA,0,0,0,0
YDR519W_mRNA,0,0,0,0
YDR520C_mRNA,0,0,0,0
YDR521W_mRNA,0,0,0,0
YDR522C_mRNA,0,0,0,0
YDR523C_mRNA,0,0,0,0
YDR524C_mRNA,0,0,0,0
YDR524W-C_mRNA,0,0,0,0
YDR524C-B_mRNA,0,0,0,0
YDR524C-A_mRNA,0,0,0,0
YDR525W_mRNA,0,0,0,0
YDR525W-A_mRNA,0,0,0,0
YDR526C_mRNA,0,0,0,0
YDR527W_mRNA,0,0,0,0
snR84_snoRNA,0,0,0,0
YDR528W_mRNA,0,0,0,0
YDR529C_mRNA,0,0,0,0
YDR530C_mRNA,0,0,0,0
YDR531W_mRNA,0,0,0,0
YDR532C_mRNA,0,0,0,0
YDR533C_mRNA,0,0,0,0
YDR534C_mRNA,0,0,0,0
YDR535C_mRNA,0,0,0,0
YDR536W_mRNA,0,0,0,0
YDR537C_mRNA,0,0,0,0
YDR538W_mRNA,0,0,0,0
YDR539W_mRNA,0,0,0,0
YDR540C_mRNA,0,0,0,0
YDR541C_mRNA,0,0,0,0
YDR542W_mRNA,0,0,0,0
YDR543C_mRNA,0,0,0,0
YDR544C_mRNA,0,0,0,0
YDR545W_mRNA,0,0,0,0
YDR545C-A_mRNA,0,0,0,0
YGL263W_mRNA,0,0,0,0
YGL262W_mRNA,0,0,0,0
YGL261C_mRNA,0,0,0,0
YGL260W_mRNA,0,0,0,0
YGL259W_mRNA,0,0,0,0
YGL258W-A_mRNA,0,0,0,0
YGL258W_mRNA,0,0,0,0
YGL257C_mRNA,0,0,0,0
YGL256W_mRNA,0,0,0,0
YGL255W_mRNA,0,0,0,0
YGL254W_mRNA,0,0,0,0
YGL253W_mRNA,0,0,0,0
YGL252C_mRNA,0,0,0,0
YGL251C_mRNA,0,0,0,0
YGL250W_mRNA,0,0,0,0
YGL249W_mRNA,0,0,0,0
RME3_ncRNA,0,0,0,0
YGL248W_mRNA,0,0,0,0
YGL247W_mRNA,0,0,0,0
YGL246C_mRNA,0,0,0,0
YGL245W_mRNA,0,0,0,0
YGL244W_mRNA,0,0,0,0
YGL243W_mRNA,0,0,0,0
YGL242C_mRNA,0,0,0,0
YGL241W_mRNA,0,0,0,0
YGL240W_mRNA,0,0,0,0
YGL239C_mRNA,0,0,0,0
YGL238W_mRNA,0,0,0,0
YGL237C_mRNA,0,0,0,0
YGL236C_mRNA,0,0,0,0
YGL235W_mRNA,0,0,0,0
YGL234W_mRNA,0,0,0,0
YGL233W_mRNA,0,0,0,0
YGL232W_mRNA,0,0,0,0
YGL231C_mRNA,0,0,0,0
YGL230C_mRNA,0,0,0,0
YGL229C_mRNA,0,0,0,0
YGL228W_mRNA,0,0,0,0
YGL227W_mRNA,0,0,0,0
YGL226C-A_mRNA,0,0,0,0
YGL226W_mRNA,0,0,0,0
tV(AAC)G3_tRNA,0,0,0,0
YGL225W_mRNA,0,0,0,0
YGL224C_mRNA,0,0,0,0
YGL223C_mRNA,0,0,0,0
YGL222C_mRNA,0,0,0,0
YGL221C_mRNA,0,0,0,0
YGL220W_mRNA,0,0,0,0
YGL219C_mRNA,0,0,0,0
YGL218W_mRNA,0,0,0,0
YGL217C_mRNA,0,0,0,0
YGL216W_mRNA,0,0,0,0
YGL215W_mRNA,0,0,0,0
YGL214W_mRNA,0,0,0,0
YGL213C_mRNA,0,0,0,0
YGL212W_mRNA,0,0,0,0
YGL211W_mRNA,0,0,0,0
YGL210W_mRNA,0,0,0,0
YGL209W_mRNA,0,0,0,0
YGL208W_mRNA,0,0,0,0
YGL207W_mRNA,0,0,0,0
YGL206C_mRNA,0,0,0,0
YGL205W_mRNA,0,0,0,0
tH(GUG)G1_tRNA,0,0,0,0
YGL204C_mRNA,0,0,0,0
YGL203C_mRNA,0,0,0,0
tK(UUU)G1_tRNA,0,0,0,0
YGL202W_mRNA,0,0,0,0
YGL201C_mRNA,0,0,0,0
tK(CUU)G1_tRNA,0,0,0,0
YGL200C_mRNA,0,0,0,0
YGL199C_mRNA,0,0,0,0
YGL198W_mRNA,0,0,0,0
YGL197W_mRNA,0,0,0,0
YGL196W_mRNA,0,0,0,0
YGL195W_mRNA,0,0,0,0
YGL194C-A_mRNA,0,0,0,0
YGL194C_mRNA,0,0,0,0
RME2_ncRNA,0,0,0,0
YGL193C_mRNA,0,0,0,0
YGL192W_mRNA,0,0,0,0
YGL191W_mRNA,0,0,0,0
YGL190C_mRNA,0,0,0,0
YGL189C_mRNA,0,0,0,0
YGL188C-A_mRNA,0,0,0,0
YGL188C_mRNA,0,0,0,0
YGL187C_mRNA,0,0,0,0
YGL186C_mRNA,0,0,0,0
YGL185C_mRNA,0,0,0,0
YGL184C_mRNA,0,0,0,0
YGL183C_mRNA,0,0,0,0
YGL182C_mRNA,0,0,0,0
YGL181W_mRNA,0,0,0,0
YGL180W_mRNA,0,0,0,0
YGL179C_mRNA,0,0,0,0
YGL178W_mRNA,0,0,0,0
YGL177W_mRNA,0,0,0,0
YGL176C_mRNA,0,0,0,0
YGL175C_mRNA,0,0,0,0
YGL174W_mRNA,0,0,0,0
YGL173C_mRNA,0,0,0,0
YGL172W_mRNA,0,0,0,0
YGL171W_mRNA,0,0,0,0
YGL170C_mRNA,0,0,0,0
tK(CUU)G2_tRNA,0,0,0,0
YGL169W_mRNA,0,0,0,0
YGL168W_mRNA,0,0,0,0
YGL167C_mRNA,0,0,0,0
YGL166W_mRNA,0,0,0,0
YGL165C_mRNA,0,0,0,0
YGL164C_mRNA,0,0,0,0
YGL163C_mRNA,0,0,0,0
YGL162W_mRNA,0,0,0,0
YGL161C_mRNA,0,0,0,0
YGL160W_mRNA,0,0,0,0
YGL159W_mRNA,0,0,0,0
tL(CAA)G1_tRNA,0,0,0,0
YGL158W_mRNA,0,0,0,0
YGL157W_mRNA,0,0,0,0
YGL156W_mRNA,0,0,0,0
YGL155W_mRNA,0,0,0,0
YGL154C_mRNA,0,0,0,0
YGL153W_mRNA,0,0,0,0
YGL152C_mRNA,0,0,0,0
YGL151W_mRNA,0,0,0,0
YGL150C_mRNA,0,0,0,0
YGL149W_mRNA,0,0,0,0
YGL148W_mRNA,0,0,0,0
YGL147C_mRNA,0,0,0,0
YGL146C_mRNA,0,0,0,0
YGL145W_mRNA,0,0,0,0
YGL144C_mRNA,0,0,0,0
YGL143C_mRNA,0,0,0,0
YGL142C_mRNA,0,0,0,0
YGL141W_mRNA,0,0,0,0
YGL140C_mRNA,0,0,0,0
YGL139W_mRNA,0,0,0,0
YGL138C_mRNA,0,0,0,0
YGL137W_mRNA,0,0,0,0
YGL136C_mRNA,0,0,0,0
YGL135W_mRNA,0,0,0,0
YGL134W_mRNA,0,0,0,0
YGL133W_mRNA,0,0,0,0
YGL132W_mRNA,0,0,0,0
YGL131C_mRNA,0,0,0,0
YGL130W_mRNA,0,0,0,0
YGL129C_mRNA,0,0,0,0
YGL128C_mRNA,0,0,0,0
YGL127C_mRNA,0,0,0,0
YGL126W_mRNA,0,0,0,0
YGL125W_mRNA,0,0,0,0
YGL124C_mRNA,0,0,0,0
YGL123W_mRNA,0,0,0,0
YGL123C-A_mRNA,0,0,0,0
YGL122C_mRNA,0,0,0,0
YGL121C_mRNA,0,0,0,0
YGL120C_mRNA,0,0,0,0
YGL119W_mRNA,0,0,0,0
tW(CCA)G1_tRNA,0,0,0,0
YGL118C_mRNA,0,0,0,0
YGL117W_mRNA,0,0,0,0
YGL116W_mRNA,0,0,0,0
YGL115W_mRNA,0,0,0,0
YGL114W_mRNA,0,0,0,0
YGL113W_mRNA,0,0,0,0
YGL112C_mRNA,0,0,0,0
YGL111W_mRNA,0,0,0,0
YGL110C_mRNA,0,0,0,0
YGL109W_mRNA,0,0,0,0
YGL108C_mRNA,0,0,0,0
YGL107C_mRNA,0,0,0,0
YGL106W_mRNA,0,0,0,0
YGL105W_mRNA,0,0,0,0
YGL104C_mRNA,0,0,0,0
YGL103W_mRNA,0,0,0,0
YGL102C_mRNA,0,0,0,0
YGL101W_mRNA,0,0,0,0
YGL100W_mRNA,0,0,0,0
YGL099W_mRNA,0,0,0,0
snR82_snoRNA,0,0,0,0
YGL098W_mRNA,0,0,0,0
tH(GUG)G2_tRNA,0,0,0,0
YGL097W_mRNA,0,0,0,0
YGL096W_mRNA,0,0,0,0
tE(UUC)G1_tRNA,0,0,0,0
YGL095C_mRNA,0,0,0,0
YGL094C_mRNA,0,0,0,0
YGL093W_mRNA,0,0,0,0
YGL092W_mRNA,0,0,0,0
YGL091C_mRNA,0,0,0,0
YGL090W_mRNA,0,0,0,0
YGL089C_mRNA,0,0,0,0
YGL088W_mRNA,0,0,0,0
snR10_snoRNA,0,0,0,0
YGL087C_mRNA,0,0,0,0
YGL086W_mRNA,0,0,0,0
YGL085W_mRNA,0,0,0,0
YGL084C_mRNA,0,0,0,0
YGL083W_mRNA,0,0,0,0
YGL082W_mRNA,0,0,0,0
YGL081W_mRNA,0,0,0,0
YGL080W_mRNA,0,0,0,0
YGL079W_mRNA,0,0,0,0
YGL078C_mRNA,0,0,0,0
YGL077C_mRNA,0,0,0,0
YGL076C_mRNA,0,0,0,0
snR39_snoRNA,0,0,0,0
snR39B_snoRNA,0,0,0,0
YGL075C_mRNA,0,0,0,0
YGL074C_mRNA,0,0,0,0
YGL073W_mRNA,0,0,0,0
YGL072C_mRNA,0,0,0,0
YGL071W_mRNA,0,0,0,0
YGL070C_mRNA,0,0,0,0
YGL069C_mRNA,0,0,0,0
YGL068W_mRNA,0,0,0,0
YGL067W_mRNA,0,0,0,0
YGL066W_mRNA,0,0,0,0
YGL065C_mRNA,0,0,0,0
YGL064C_mRNA,0,0,0,0
YGL063W_mRNA,0,0,0,0
YGL063C-A_mRNA,0,0,0,0
YGL062W_mRNA,0,0,0,0
YGL061C_mRNA,0,0,0,0
YGL060W_mRNA,0,0,0,0
YGL059W_mRNA,0,0,0,0
YGL058W_mRNA,0,0,0,0
YGL057C_mRNA,0,0,0,0
YGL056C_mRNA,0,0,0,0
YGL055W_mRNA,0,0,0,0
YGL054C_mRNA,0,0,0,0
tE(UUC)G2_tRNA,0,0,0,0
tR(UCU)G1_tRNA,0,0,0,0
YGL050W_mRNA,0,0,0,0
YGL049C_mRNA,0,0,0,0
YGL048C_mRNA,0,0,0,0
YGL047W_mRNA,0,0,0,0
tV(AAC)G1_tRNA,0,0,0,0
YGL045W_mRNA,0,0,0,0
YGL044C_mRNA,0,0,0,0
YGL043W_mRNA,0,0,0,0
YGL042C_mRNA,0,0,0,0
YGL041C-B_mRNA,0,0,0,0
YGL041W-A_mRNA,0,0,0,0
YGL041C_mRNA,0,0,0,0
YGL040C_mRNA,0,0,0,0
tL(CAA)G2_tRNA,0,0,0,0
YGL039W_mRNA,0,0,0,0
YGL038C_mRNA,0,0,0,0
YGL037C_mRNA,0,0,0,0
YGL036W_mRNA,0,0,0,0
YGL035C_mRNA,0,0,0,0
YGL034C_mRNA,0,0,0,0
YGL033W_mRNA,0,0,0,0
YGL032C_mRNA,0,0,0,0
YGL031C_mRNA,0,0,0,0
YGL030W_mRNA,0,0,0,0
YGL029W_mRNA,0,0,0,0
tF(GAA)G_tRNA,0,0,0,0
YGL028C_mRNA,0,0,0,0
YGL027C_mRNA,0,0,0,0
YGL026C_mRNA,0,0,0,0
YGL025C_mRNA,0,0,0,0
YGL024W_mRNA,0,0,0,0
YGL023C_mRNA,0,0,0,0
YGL022W_mRNA,0,0,0,0
YGL021W_mRNA,0,0,0,0
YGL020C_mRNA,0,0,0,0
YGL019W_mRNA,0,0,0,0
YGL018C_mRNA,0,0,0,0
YGL017W_mRNA,0,0,0,0
YGL016W_mRNA,0,0,0,0
YGL015C_mRNA,0,0,0,0
YGL014W_mRNA,0,0,0,0
YGL014C-A_mRNA,0,0,0,0
YGL013C_mRNA,0,0,0,0
YGL012W_mRNA,0,0,0,0
YGL011C_mRNA,0,0,0,0
YGL010W_mRNA,0,0,0,0
YGL009C_mRNA,0,0,0,0
YGL008C_mRNA,0,0,0,0
YGL007C-A_mRNA,0,0,0,0
YGL007W_mRNA,0,0,0,0
YGL006W-A_mRNA,0,0,0,0
YGL006W_mRNA,0,0,0,0
YGL005C_mRNA,0,0,0,0
YGL004C_mRNA,0,0,0,0
YGL003C_mRNA,0,0,0,0
YGL002W_mRNA,0,0,0,0
YGL001C_mRNA,0,0,0,0
YGR001C_mRNA,0,0,0,0
YGR002C_mRNA,0,0,0,0
YGR003W_mRNA,0,0,0,0
YGR004W_mRNA,0,0,0,0
YGR005C_mRNA,0,0,0,0
YGR006W_mRNA,0,0,0,0
YGR007W_mRNA,0,0,0,0
YGR008C_mRNA,0,0,0,0
YGR009C_mRNA,0,0,0,0
YGR010W_mRNA,0,0,0,0
YGR011W_mRNA,0,0,0,0
YGR012W_mRNA,0,0,0,0
YGR013W_mRNA,0,0,0,0
YGR014W_mRNA,0,0,0,0
YGR015C_mRNA,0,0,0,0
YGR016W_mRNA,0,0,0,0
YGR017W_mRNA,0,0,0,0
YGR018C_mRNA,0,0,0,0
YGR019W_mRNA,0,0,0,0
YGR020C_mRNA,0,0,0,0
YGR021W_mRNA,0,0,0,0
YGR022C_mRNA,0,0,0,0
YGR023W_mRNA,0,0,0,0
tD(GUC)G1_tRNA,0,0,0,0
YGR024C_mRNA,0,0,0,0
YGR025W_mRNA,0,0,0,0
YGR026W_mRNA,0,0,0,0
YGR027C_mRNA,0,0,0,0
tE(UUC)G3_tRNA,0,0,0,0
YGR028W_mRNA,0,0,0,0
YGR029W_mRNA,0,0,0,0
tD(GUC)G2_tRNA,0,0,0,0
snR46_snoRNA,0,0,0,0
YGR030C_mRNA,0,0,0,0
YGR031W_mRNA,0,0,0,0
YGR031C-A_mRNA,0,0,0,0
YGR032W_mRNA,0,0,0,0
YGR033C_mRNA,0,0,0,0
YGR034W_mRNA,0,0,0,0
YGR035C_mRNA,0,0,0,0
YGR035W-A_mRNA,0,0,0,0
YGR036C_mRNA,0,0,0,0
YGR037C_mRNA,0,0,0,0
YGR038W_mRNA,0,0,0,0
tS(AGA)G_tRNA,0,0,0,0
YGR039W_mRNA,0,0,0,0
YGR040W_mRNA,0,0,0,0
YGR041W_mRNA,0,0,0,0
YGR042W_mRNA,0,0,0,0
YGR043C_mRNA,0,0,0,0
YGR044C_mRNA,0,0,0,0
YGR045C_mRNA,0,0,0,0
YGR046W_mRNA,0,0,0,0
YGR047C_mRNA,0,0,0,0
YGR048W_mRNA,0,0,0,0
YGR049W_mRNA,0,0,0,0
YGR050C_mRNA,0,0,0,0
YGR051C_mRNA,0,0,0,0
YGR052W_mRNA,0,0,0,0
YGR053C_mRNA,0,0,0,0
YGR054W_mRNA,0,0,0,0
YGR055W_mRNA,0,0,0,0
YGR056W_mRNA,0,0,0,0
YGR057C_mRNA,0,0,0,0
YGR058W_mRNA,0,0,0,0
YGR059W_mRNA,0,0,0,0
snR48_snoRNA,0,0,0,0
YGR060W_mRNA,0,0,0,0
YGR061C_mRNA,0,0,0,0
YGR062C_mRNA,0,0,0,0
YGR063C_mRNA,0,0,0,0
YGR064W_mRNA,0,0,0,0
YGR065C_mRNA,0,0,0,0
YGR066C_mRNA,0,0,0,0
YGR067C_mRNA,0,0,0,0
YGR068C_mRNA,0,0,0,0
YGR068W-A_mRNA,0,0,0,0
YGR069W_mRNA,0,0,0,0
YGR070W_mRNA,0,0,0,0
YGR071C_mRNA,0,0,0,0
YGR072W_mRNA,0,0,0,0
YGR073C_mRNA,0,0,0,0
YGR074W_mRNA,0,0,0,0
YGR075C_mRNA,0,0,0,0
YGR076C_mRNA,0,0,0,0
YGR077C_mRNA,0,0,0,0
YGR078C_mRNA,0,0,0,0
YGR079W_mRNA,0,0,0,0
YGR080W_mRNA,0,0,0,0
YGR081C_mRNA,0,0,0,0
YGR082W_mRNA,0,0,0,0
YGR083C_mRNA,0,0,0,0
